code,total_area
01,83423.81
,18536.55
,64828.24
01100,1121.26
01101,46.42
01102,63.57
01103,56.97
01104,34.47
01105,46.23
01106,657.48
01107,75.1
01108,24.38
01109,56.77
01110,59.87
01202,677.87
01203,243.83
01204,747.66
01205,81.01
01206,1363.29
01207,619.34
01208,1427.41
01209,763.07
01210,481.02
01211,471
01212,297.84
01213,561.66
01214,761.42
01215,277.69
01216,865.04
01217,187.38
01218,129.88
01219,830.67
01220,1119.22
01221,535.2
01222,302.52
01223,506.25
01224,594.5
01225,115.9
01226,78.68
01227,55.95
01228,529.42
01229,600.71
01230,212.21
01231,294.65
01233,444.21
01234,119.05
01235,722.33
01236,397.44
01300,3540.06
01303,422.86
01304,78.04
01330,3937.46
01331,293.25
01332,187.25
01333,196.76
01334,221.86
01337,216.75
01343,110.63
01345,368.79
01346,956.08
01347,310.76
01360,2630.3
01361,109.48
01362,547.72
01363,460.58
01364,162.59
01367,142.99
01370,568.25
01371,638.68
01390,4305.87
01391,437.18
01392,95.25
01393,345.65
01394,449.78
01395,197.13
01396,114.25
01397,119.84
01398,189.41
01399,231.49
01400,261.34
01401,304.92
01402,70.6
01403,82.27
01404,147.79
01405,238.13
01406,188.36
01407,167.96
01408,140.59
01409,280.09
01420,5791.59
01423,81.36
01424,88.19
01425,39.98
01427,133.74
01428,168.52
01429,203.93
01430,150.4
01431,101.83
01432,495.47
01433,48.64
01434,47.18
01436,191.15
01437,158.7
01438,283.35
01450,10618.7
01452,139.42
01453,68.5
01454,204.9
01455,86.9
01456,250.13
01457,1049.47
01458,247.3
01459,676.78
01460,237.1
01461,108.65
01462,665.54
01463,571.41
01464,225.11
01465,130.99
01468,644.2
01469,672.09
01470,275.63
01471,594.74
01472,767.04
01480,3445.9
01481,369.72
01482,627.22
01483,454.6
01484,472.65
01485,279.52
01486,590.8
01487,353.56
01510,4625.7
01511,589.99
01512,401.59
01513,398.51
01514,1115.65
01516,520.69
01517,81.64
01518,76.5
01519,105.62
01520,574.1
01540,10690.53
01543,438.41
01544,716.8
01545,737.12
01546,402.76
01547,286.89
01549,190.95
01550,527.27
01552,404.94
01555,1332.45
01559,505.79
01560,766.89
01561,362.55
01562,308.08
01563,636.88
01564,343.66
01570,3697.31
01571,233.57
01575,205.01
01578,425.64
01581,404.61
01584,180.87
01585,237.16
01586,711.36
01600,4811.02
01601,992.07
01602,743.09
01604,585.71
01607,694.3
01608,364.3
01609,284
01610,1147.55
01630,10831.49
01631,466.02
01632,259.19
01633,694.23
01634,402.88
01635,1063.83
01636,402.25
01637,513.76
01638,292.58
01639,176.9
01641,815.67
01642,596.41
01643,477.64
01644,371.79
01645,536.71
01646,391.91
01647,1408.04
01648,608.9
01649,729.85
,3.59
01660,5997.47
01661,252.66
01662,739.27
01663,423.63
01664,1099.37
01665,774.33
01667,571.8
01668,773.13
01690,8500.4
01691,1319.63
01692,684.87
01693,624.69
01694,397.72
01695,250.57
01696,535.35
01697,954.55
01698,1442.82
01699,968.32
01700,756.61
,59.01
02,9645.95
,4584.91
,5061.04
02201,824.61
02202,524.2
02203,305.56
02204,217.05
02205,404.2
02206,725.65
02207,119.87
02208,864.2
02209,253.55
02210,346.01
02300,653.5
02301,217.09
02303,125.27
02304,80.84
02307,230.3
02320,831.98
02321,343.08
02323,488.91
02340,246.02
02343,246.02
02360,223.06
02361,37.29
02362,163.43
02367,22.35
02380,304.65
02381,41.88
02384,46.43
02387,216.34
02400,1280.58
02401,81.68
02402,337.23
02405,83.89
02406,126.38
02408,326.5
02411,252.94
02412,71.96
02420,551.92
02423,52.09
02424,295.32
02425,69.46
02426,135.05
02440,969.32
02441,151.79
02442,177.67
02443,241.98
02445,153.12
02446,94
02450,150.77
03,15275.01
,9650.73
,5624.29
03201,886.47
03202,1259.15
03203,322.51
03205,908.39
03206,437.55
03207,623.5
03208,825.97
03209,1256.42
03210,231.94
03211,440.35
03213,420.42
03214,862.3
03215,993.3
03216,182.46
03300,1404.24
03301,608.82
03302,434.96
03303,360.46
03320,306.3
03321,238.98
03322,67.32
03360,590.74
03366,590.74
03380,179.76
03381,179.76
03400,63.39
03402,63.39
03440,334.84
03441,334.84
03460,200.42
03461,200.42
03480,1481.02
03482,262.81
03483,992.36
03484,156.19
03485,69.66
03500,763.55
03501,245.82
03503,80.8
03506,134.02
03507,302.92
03520,300.03
03524,300.03
04,7282.29
,4591.42
,2690.87
04100,786.35
04101,302.24
04102,58.25
04103,50.86
04104,228.39
04105,146.61
04202,554.55
04203,17.37
04205,332.44
04206,286.48
04207,98.18
04208,147.53
04209,19.69
04211,60.45
04212,536.09
04213,805
04214,101.3
04215,796.81
04216,49.18
04300,415.92
04301,152.83
04302,263.09
04320,428.17
04321,24.99
04322,78.38
04323,54.03
04324,270.77
04340,273.3
04341,273.3
04360,138.18
04361,73.6
04362,64.58
04400,111.64
04401,53.56
04404,13.19
04406,44.89
04420,367.81
04421,225.49
04422,82.01
04424,60.32
04440,569.94
04444,109.28
04445,460.67
04500,157.15
04501,82.16
04505,74.99
04580,65.35
04581,65.35
04600,163.4
04606,163.4
05,11637.52
,9340.11
,2275.43
,21.97
05201,906.07
05202,426.95
05203,692.8
05204,913.22
05206,241.09
05207,790.91
05209,707.52
05210,1209.59
05211,97.72
05212,866.79
05213,1152.76
05214,241.13
05215,1093.56
05300,201.7
05303,201.7
05320,256.72
05327,256.72
05340,764.26
05346,282.13
05348,247.98
05349,234.14
05360,449.98
05361,214.92
05363,17
05366,47.95
05368,170.11
05420,168.32
05434,168.32
05460,434.46
05463,230.78
05464,203.69
06,9323.15
,4711.77
,4611.38
06201,381.3
06202,548.51
06203,1311.51
06204,602.98
06205,222.85
06206,139.03
06207,240.93
06208,196.98
06209,214.67
06210,113.02
06211,206.94
06212,372.53
06213,160.52
06300,92.6
06301,61.45
06302,31.15
06320,796.53
06321,52.45
06322,393.19
06323,196.81
06324,154.08
06340,79.54
06341,79.54
06360,1580.38
06361,161.67
06362,330.37
06363,119.04
06364,374.22
06365,211.63
06366,122.14
06367,261.31
06380,346.86
06381,180.26
06382,166.6
06400,1224.68
06401,737.56
06402,157.71
06403,329.41
06420,282.39
06426,33.22
06428,249.17
06460,208.39
06461,208.39
07,13784.14
,6031.78
,7752.36
07201,767.72
07202,382.97
07203,757.2
07204,1232.26
07205,305.32
07207,279.43
07208,554.63
07209,197.79
07210,344.42
07211,458.33
07212,398.58
07213,265.12
07214,88.02
07300,208.62
07301,42.97
07303,37.95
07308,127.7
07320,79.44
07322,79.44
07340,256.82
07342,31.3
07344,225.52
07360,2341.53
07362,317.04
07364,390.46
07367,747.56
07368,886.47
07400,986.88
07402,234.08
07405,298.18
07407,59.77
07408,394.85
07420,283.79
07421,91.59
07422,16.37
07423,175.82
07440,870.51
07444,90.81
07445,293.92
07446,209.46
07447,276.33
07460,306.8
07461,192.06
07464,35.43
07465,18.92
07466,60.4
07480,620.95
07481,159.93
07482,118.27
07483,211.41
07484,131.34
07500,456.52
07501,115.71
07502,46.67
07503,93.42
07504,37.43
07505,163.29
07520,197.95
07521,72.76
07522,125.18
07540,865.71
07541,58.69
07542,103.64
07543,68.39
07544,197.35
07545,78.71
07546,51.42
07547,223.14
07548,84.37
07560,276.83
07561,46.7
07564,230.13
08,6097.54
,5090.65
,1006.88
08201,217.32
08202,225.73
08203,122.89
08204,123.58
08205,215.53
08207,65.76
08208,78.59
08210,80.88
08211,123.64
08212,371.99
08214,193.55
08215,186.79
08216,240.4
08217,69.94
08219,58.92
08220,283.72
08221,100.26
08222,106.04
08223,71.4
08224,35.71
08225,348.45
08226,97.82
08227,205.3
08228,123.03
08229,205.81
08230,156.6
08231,180.06
08232,146.97
08233,222.48
08234,207.6
08235,79.16
08236,144.74
08300,307.27
08302,121.58
08309,23.89
08310,161.8
08340,38
08341,38
08360,325.76
08364,325.76
08440,182.3
08442,66.61
08443,71.4
08447,44.3
08520,58.99
08521,58.99
08540,69.7
08542,23.11
08546,46.59
08560,24.86
08564,24.86
09,6408.09
,5053.84
,1354.26
09201,416.85
09202,177.76
09203,331.5
09204,356.04
09205,490.64
09206,1449.83
09208,171.75
09209,167.34
09210,354.36
09211,170.46
09213,592.74
09214,125.63
09215,174.35
09216,74.59
09300,54.39
09301,54.39
09340,396.5
09342,89.4
09343,172.69
09344,64.25
09345,70.16
09360,91.33
09361,61.06
09364,30.27
09380,246.92
09384,176.06
09386,70.87
09400,565.12
09407,372.34
09411,192.78
10,6362.28
,2892.74
,3469.55
10201,311.59
10202,459.16
10203,274.45
10204,139.44
10205,175.54
10206,443.46
10207,60.97
10208,240.27
10209,180.29
10210,122.85
10211,276.31
10212,208.42
10340,48.38
10344,27.92
10345,20.46
10360,296.44
10366,181.85
10367,114.6
10380,365.81
10382,188.38
10383,118.83
10384,58.61
10420,1278.55
10421,439.28
10424,133.85
10425,337.58
10426,49.75
10428,64.18
10429,253.91
10440,1322.23
10443,391.76
10444,85.25
10448,64.14
10449,781.08
10460,25.78
10464,25.78
10520,132.36
10521,41.86
10522,19.64
10523,21.73
10524,18.03
10525,31.11
11,3797.75
,2823.05
,974.7
11100,217.43
11101,29.12
11102,16.86
11103,12.8
11104,30.69
11105,8.39
11106,18.64
11107,11.51
11108,13.82
11109,26.44
11110,49.17
11201,109.13
11202,159.82
11203,61.95
11206,67.49
11207,577.83
11208,72.11
11209,193.05
11210,133.3
11211,89.69
11212,65.35
11214,66
11215,48.99
11216,58.64
11217,67.44
11218,138.37
11219,45.51
11221,27.46
11222,60.24
11223,5.11
11224,18.19
11225,44.69
11227,18.34
11228,9.05
11229,11.04
11230,22.78
11231,25.35
11232,82.41
11233,19.82
11234,18.02
11235,19.77
11237,30.13
11238,27.28
11239,41.02
11240,33.93
11241,17.65
11242,47.48
11243,31.66
11245,14.64
11246,24.92
11300,14.79
11301,14.79
11320,89.79
11324,15.33
11326,34.07
11327,40.39
11340,281.86
11341,29.68
11342,29.92
11343,60.36
11346,41.63
11347,38.64
11348,25.73
11349,55.9
11360,351.84
11361,49.36
11362,63.74
11363,30.43
11365,171.26
11369,37.06
11380,109.99
11381,33.41
11383,47.4
11385,29.18
11400,64.25
11408,64.25
11440,15.95
11442,15.95
11460,46.23
11464,30.03
11465,16.2
12,5156.74
,4404.72
,752.02
12100,271.76
12101,44.71
12102,34.19
12103,21.22
12104,84.19
12105,66.25
12106,21.2
12202,84.2
12203,57.45
12204,85.62
12205,110.05
12206,138.9
12207,61.38
12208,103.55
12210,99.92
12211,213.84
12212,103.69
12213,89.12
12215,130.45
12216,20.97
12217,114.74
12218,93.96
12219,368.16
12220,35.32
12221,51.39
12222,43.15
12223,191.14
12224,21.08
12225,318.78
12226,205.4
12227,17.3
12228,34.52
12229,94.92
12230,74.94
12231,123.79
12232,35.48
12233,53.88
12234,229.55
12235,101.52
12236,262.35
12237,146.77
12238,157.5
12239,58.08
,0.1
12320,51.52
12322,19.01
12329,32.51
12340,138.95
12342,19.9
12347,72.8
12349,46.25
12400,134.69
12403,24.44
12409,43.24
12410,67.01
12420,226.96
12421,22.99
12422,35.59
12423,28.25
12424,27.5
12426,47.11
12427,65.51
12440,154.72
12441,129.87
12443,24.85
12460,45.17
12463,45.17
13,2194.05
,627.53
,783.95
,782.57
13101,11.66
13102,10.21
13103,20.37
13104,18.22
13105,11.29
13106,10.11
13107,13.77
13108,43.01
13109,22.84
13110,14.67
13111,61.86
13112,58.05
13113,15.11
13114,15.59
13115,34.06
13116,13.01
13117,20.61
13118,10.16
13119,32.22
13120,48.08
13121,53.25
13122,34.8
13123,49.9
,1.12
,1.2
,2.36
13201,186.38
13202,24.36
13203,10.98
13204,16.42
13205,103.31
13206,29.43
13207,17.34
13208,21.58
13209,71.55
13210,11.3
13211,20.51
13212,27.55
13213,17.14
13214,11.46
13215,8.15
13218,10.16
13219,6.39
13220,13.42
13221,10.23
13222,12.88
13223,15.32
13224,21.01
13225,17.97
13227,9.9
13228,73.47
13229,15.75
13300,375.86
13303,16.85
13305,28.07
13307,105.41
13308,225.53
13360,141.01
13361,90.76
13362,4.12
13363,27.54
13364,18.58
13380,75.81
13381,55.26
13382,20.55
13400,83.01
13401,72.24
13402,5.96
,4.79
,0
,0.02
,0
13420,106.88
13421,106.88
14,2416.32
,1810.02
,606.31
14100,438.01
14101,33.22
14102,23.73
14103,7.03
14104,21.74
14105,12.65
14106,21.93
14107,19.05
14108,30.96
14109,31.4
14110,35.79
14111,19.9
14112,32.73
14113,25.51
14114,17.17
14115,18.52
14116,23.58
14117,35.22
14118,27.87
14130,142.96
14131,39.49
14132,10.01
14133,14.74
14134,16.36
14135,20.5
14136,18.61
14137,23.25
14150,328.91
14151,253.93
14152,36.87
14153,38.11
14201,100.81
14203,67.82
14204,39.66
14205,69.56
14206,113.6
14207,35.7
14208,17.28
14210,32.05
14211,103.76
14212,93.84
14213,27.09
14214,55.56
14215,26.59
14216,17.57
14217,77.12
14218,22.14
14300,17.04
14301,17.04
14320,13.34
14321,13.34
14340,26.25
14341,17.18
14342,9.08
14360,303.28
14361,19.99
14362,14.38
14363,37.75
14364,224.61
14366,6.55
14380,140.87
14382,92.86
14383,7.05
14384,40.97
14400,105.52
14401,34.28
14402,71.24
15,12583.96
,10629.07
,1954.89
15100,726.28
15101,107.61
15102,38.63
15103,37.75
15104,75.42
15105,95.38
15106,100.91
15107,94
15108,176.57
15202,891.05
15204,431.97
15205,442.03
15206,533.11
15208,155.19
15209,133.72
15210,590.39
15211,77.91
15212,1174.17
15213,110.95
15216,746.24
15217,445.63
15218,351.91
15222,973.89
15223,192.74
15224,855.68
15225,946.76
15226,584.55
15227,264.89
15300,37.58
15307,37.58
15340,25.17
15342,25.17
15360,31.71
15361,31.71
15380,952.89
15385,952.89
15400,44.38
15405,44.38
15460,357.29
15461,357.29
15480,170.21
15482,170.21
15500,26.27
15504,26.27
