code,kokyozahyo_area
01101,3
01102,0
01103,0
01104,0
01105,7
01106,13
01107,1
01108,1
01109,0
01110,17
01202,43
01203,50
01204,13
01205,1
01206,53
01207,6
01208,48
01209,21
01210,54
01211,24
01212,26
01213,83
01214,127
01215,44
01216,9
01217,2
01218,2
01219,123
01220,89
01221,106
01222,42
01223,61
01224,38
01225,6
01226,5
01227,2
01228,51
01229,0
01230,10
01231,14
01233,19
01234,10
01235,39
01236,76
01303,26
01304,0
01331,42
01332,29
01333,33
01334,48
01337,31
01343,19
01345,4
01346,146
01347,32
01361,17
01362,261
01363,6
01364,13
01367,0
01370,4
01371,19
01391,22
01392,7
01393,53
01394,51
01395,8
01396,1
01397,7
01398,7
01399,5
01400,4
01401,27
01402,1
01403,2
01404,0
01405,11
01406,2
01407,6
01408,2
01409,9
01423,0
01424,34
01425,15
01427,0
01428,0
01429,5
01430,13
01431,4
01432,22
01433,0
01434,0
01436,3
01437,10
01438,106
01472,25
01452,11
01453,0
01454,16
01455,1
01456,9
01457,37
01458,114
01459,30
01460,3
01461,8
01462,20
01463,28
01464,4
01465,3
01468,32
01469,518
01470,160
01471,20
01481,19
01482,112
01483,23
01484,25
01485,69
01486,59
01487,40
01520,58
01511,7
01512,53
01513,39
01514,237
01515,0
01516,62
01519,0
01543,30
01544,32
01545,17
01546,5
01547,7
01549,12
01550,16
01552,15
01555,54
01559,77
01560,33
01561,84
01562,15
01563,85
01564,9
01571,27
01575,11
01578,63
01581,72
01584,8
01585,50
01586,253
01601,98
01602,133
01604,6
01607,198
01608,289
01609,208
01610,146
01631,36
01632,25
01633,5
01634,2
01635,31
01636,10
01637,0
01638,2
01639,2
01641,58
01642,26
01643,29
01644,121
01645,28
01646,18
01647,72
01648,25
01649,158
01661,55
01662,110
01663,34
01664,73
01665,12
01667,103
01668,49
01691,72
01692,21
01693,12
01694,2
