code,total_area
10201,312213696.8153028
10202,460653457.13592136
10203,274994425.601174
10204,139720522.76842624
10205,175892234.7756158
10206,444315942.19277024
10207,61090203.00891349
10208,240739980.40222102
10209,180659481.811046
10210,123095410.27442345
10211,276860968.20022714
10212,208833727.53614578
10344,27405289.71254706
10345,20498474.663794786
10366,182225255.12523353
10367,114832356.20465654
10382,188760423.0131668
10383,119069251.03162715
10384,58726538.050113484
10421,440135090.9751482
10424,134114240.71390896
10425,339101241.1299858
10426,48989926.69207117
10428,64301860.34232632
10429,254409970.6888153
10443,392501249.9779492
10444,85410528.39010394
10448,64270091.42662591
10449,782568025.1633824
10464,25827297.263793778
10521,41941515.06874797
10522,19681615.24082771
10523,21772449.663051948
10524,18064323.5175054
10525,31168552.897396807
11101,29176572.144731436
11102,16892522.541321047
11103,12829695.949209891
11104,30749815.443335388
11105,8406931.996383639
11106,18677022.1374666
11107,11535465.266097838
11108,13853239.891510475
11109,26492225.7106616
11110,49277669.60226982
11201,109364147.26041232
11202,160147123.07985896
11203,62077907.20087233
11206,67631566.90540002
11207,579102670.1033635
11208,72263887.5364944
11209,193455194.18233615
11210,133569345.3890935
11211,89873540.61773047
11212,65483257.98290434
11214,66133448.041902915
11215,49096800.64797093
11216,58763298.523421265
11217,67576476.86470741
11218,138650960.02984285
11219,45606271.126356795
11221,27517569.95952097
11222,60371376.23026924
11223,5116274.843631556
11224,18223893.53577802
11225,44789571.59646997
11227,18374685.80408625
11228,9068937.483196188
11229,11061232.85607979
11230,22828471.21222309
11231,25399199.154480126
11232,82579625.75460231
11233,19856614.40491556
11234,18054977.016177032
11235,19806894.12558953
11237,30111935.572573453
11238,27337955.614884775
11239,41109791.94311862
11240,33997023.21783278
11241,17688698.565405756
11242,47577738.83225058
11243,31729840.982500527
11245,14670126.105319967
11246,24975218.447591428
11301,14820957.444131978
11324,15360829.98871709
11326,34143116.94838846
11327,40476135.14050614
11341,29742066.17366218
11342,29977462.850187585
11343,60484610.56523698
11346,41714481.77292093
11347,38724788.39812691
11348,25785581.89650656
11349,56019383.19264474
11361,49401964.47985616
11362,63871146.70836148
11363,30492620.045977723
11365,171611859.47224927
11369,37134486.26215119
11381,33475158.104106832
11383,47495564.73646654
11385,29240779.948813483
11408,64384635.58309658
11442,15982558.991732342
11464,30090654.84710118
11465,16231847.762124462
12101,44800405.295913935
12102,34264899.64762144
12103,21267621.467097096
12104,84392383.35678425
12105,66396984.93659014
12106,21244183.746079475
12202,84380078.0209394
12203,57052423.45626202
12204,85801169.25046918
12205,110301822.87627815
12206,139262495.4570533
12207,61508749.67687216
12208,103766401.63143228
12210,100136631.09419878
12211,214292029.30448106
12212,103917590.02451076
12213,89311198.18875171
12215,130729095.8386638
12216,21017135.326079503
12217,114986695.97540681
12218,94332245.95373365
12219,368985451.4852086
12220,35397577.859801106
12221,51498828.92384833
12222,43240458.68976159
12223,191575242.77057624
12224,21129972.644929457
12225,319523341.5591739
12226,205998755.03407523
12227,18915036.479015347
12228,34598406.635125116
12229,95144777.98491661
12230,75101694.50751776
12231,124053837.90328251
12232,35555994.53778667
12233,53993691.04856339
12234,230645230.23943883
12235,101734517.70010589
12236,262910765.18950248
12237,147088697.9363964
12238,157855034.05490327
12239,58211281.40619491
12322,19049312.73602938
12329,32582293.769883834
12342,19939919.507630315
12347,72956723.03954962
12349,46352133.598085426
12403,24513775.58803139
12409,43336430.26717997
12410,67152056.49851169
12421,23042995.754794005
12422,35669761.4270932
12423,28316355.69301047
12424,27564394.843483754
12426,47216646.30738006
12427,65653292.130905315
12441,130161850.51284243
12443,24754910.168560088
12463,45293420.84590914
13101,11533490.504567504
13102,10220707.399328468
13103,20577593.03034646
13104,18263287.633023962
13105,11310432.566880843
13106,10128066.49259097
13107,13801762.553493233
13108,40246687.208042264
13109,22885024.43739459
13110,14706221.613173915
13111,61491467.036551066
13112,58180244.69433173
13113,15143175.29298909
13114,15627897.16456802
13115,34128811.90275012
13116,13039988.60373211
13117,20652985.405056182
13118,10177762.539097851
13119,32291979.8539358
13120,48185296.325521044
13121,53359983.74017792
13122,34954000.14594177
13123,48958558.26540215
13201,186783675.55202508
13202,24412752.766323704
13203,11002780.71331078
13204,16459894.417726735
13205,103527076.2958912
13206,29489832.881653454
13207,17375761.090747986
13208,21628329.096435487
13209,71701497.66101758
13210,11319800.695271678
13211,20558365.922798
13212,27604724.692361202
13213,17171988.291030508
13214,11480979.802992504
13215,8165956.295754321
13218,10184245.405165011
13219,6400611.715800516
13220,13452892.096128095
13221,10252208.543186344
13222,12908891.303319573
13223,15354360.37861897
13224,21055574.652893096
13225,18008786.729875244
13227,9923083.983152008
13228,73627335.10482582
13229,15786620.350480704
13303,16882134.377575554
13305,28133611.965016276
13307,105633028.91516839
13308,226012747.10489
13361,90977711.28122547
13362,4129591.122475931
13363,27604592.534810163
13364,18623870.059206046
13381,55395102.87030624
13382,20596545.280195393
13401,72430578.36831325
13402,5976891.485129081
13421,107216944.08096687
14101,33300578.33624928
14102,23776637.762463033
14103,7046260.548333959
14104,21329109.84439115
14105,12682401.557839727
14106,21980473.360754002
14107,19088649.944728382
14108,31029466.962301645
14109,31471488.73360908
14110,35873822.42469792
14111,19948079.508066
14112,32802194.851600867
14113,25565871.374126412
14114,17203380.994079478
14115,18564626.49630114
14116,23631049.096993655
14117,35297500.32401449
14118,27934357.583798215
14131,39620805.26694786
14132,10030733.883456841
14133,14772657.271731118
14134,16393861.65574811
14135,20547551.04166776
14136,18648275.35129361
14137,23305212.16116614
14151,254485536.63741153
14152,36950259.71737918
14153,38194163.29773671
14201,101052991.25931108
14203,67802242.18236575
14204,39758160.949081674
14205,69718572.75187372
14206,114061876.45132771
14207,35755795.76824548
14208,17315036.70983288
14210,32120039.429677475
14211,103989951.8274217
14212,94045358.64243868
14213,27148749.66119241
14214,55681494.1141487
14215,26644950.345902704
14216,17605148.85552857
14217,77296715.3351255
14218,22190219.70510793
14301,17082176.76650584
14321,13368072.541725433
14341,17406669.964260895
14342,9095512.050009659
14361,20039492.727967065
14362,14412703.775052935
14363,37832478.36672223
14364,225104812.47390255
14366,6564576.307096038
14382,93070541.68013436
14383,7063613.429483668
14384,41059295.103800684
14401,34352492.82498162
14402,71400803.68819493
15101,107899822.02775094
15102,38687161.40984697
15103,37812672.89424599
15104,75550151.55453007
15105,95543055.65072949
15106,101077993.52666911
15107,94251511.1965962
15108,176845220.16879123
15202,892648856.5613238
15204,432724533.0558751
15205,442825251.50059426
15206,533987656.7678104
15208,155466640.26299036
15209,133954469.90947627
15210,594534753.3261839
15211,78050282.00459799
15212,1172456630.374389
15213,111129354.49872875
15216,747589349.8206106
15217,446463761.1218455
15218,350694225.0581096
15222,975677883.0211557
15223,194889963.9353749
15224,857057048.4718157
15225,948474844.0324789
15226,585634179.0812547
15227,265320990.74112698
15307,37641392.127450764
15342,25216647.53525007
15361,31769022.804140974
15385,954520485.0608324
15405,44461268.66877853
15461,354910611.699074
15482,170527608.09194016
15504,26319134.379522763
15581,300116786.17194843
15586,9797206.764039846
16201,1244269693.936386
16202,209976116.1565802
16204,200990779.56664884
16205,230971409.22871107
16206,54729487.80946095
16207,434897877.8961408
