code,kokyozahyo_area
01101,28.46
01102,55.16
01103,39.33
01104,20.41
01105,36.26
01106,109.35
01107,17.25
01108,17.18
01109,20.84
01110,54.74
01202,174.2
01203,150.13
01204,307.26
01205,60.52
01206,293.11
01207,340.79
01208,647.22
01209,65.81
01210,377.5
01211,293.48
01212,75.67
01213,281.01
01214,439.42
01215,196.23
01216,123.34
01217,125.18
01218,47.45
01219,358.14
01220,420.06
01221,344.57
01222,82.17
01223,281.75
01224,215.26
01225,94.07
01226,38.55
01227,11.38
01228,355.89
01229,64.03
01230,81.87
01231,108.05
01233,224.97
01234,107.12
01235,250.28
01236,179.7
01303,200.35
01304,60.97
01331,99.52
01332,62.89
01333,78.14
01334,96.88
01337,126.41
01343,63.06
01345,18.23
01346,383.35
01347,122.8
01361,70.3
01362,322.64
01363,134.99
01364,67.07
01367,0.23
01370,135.13
01371,196.97
01391,91.14
01392,44.5
01393,215.15
01394,257.85
01395,120.64
01396,89.1
01397,95.48
01398,128.8
01399,133.02
01400,150.13
01401,148
01402,21.06
01403,9.86
01404,5.58
01405,71.41
01406,21.06
01407,68.86
01408,70.64
01409,78.14
01423,70.68
01424,71.21
01425,21.57
01427,84.11
01428,142.8
01429,115.74
01430,73.25
01431,62.37
01432,182.92
01433,41.91
01434,42.92
01436,72.27
01437,79.95
01438,183.12
01452,115.11
01453,62.81
01454,108.37
01455,63.77
01456,92.08
01457,97.73
01458,172.45
01459,312.96
01460,154.52
01461,100.2
01462,68.38
01463,75.95
01464,134.88
01465,121.65
01468,150.3
01469,651.78
01470,199.59
01471,105.72
01472,123.09
01481,104.82
01482,234.81
01483,122.96
01484,103.32
01485,141.04
01486,180.56
01487,207.83
01511,114.96
01512,181.55
01513,138.33
01514,541.7
01516,317.13
01519,0.88
01520,218.36
01543,273.83
01544,172.96
01545,190.11
01546,117.97
01547,162.01
01549,120.81
01550,133.49
01552,182.72
01555,291.94
01559,347.54
01560,161.45
01561,241.13
01562,73.67
01563,286.85
01564,279.67
01571,183.75
01575,95.32
01578,154.12
01581,261.85
01584,121.91
01585,211.84
01586,459.81
01601,354.24
01602,287.08
01604,136.82
01607,343.27
01608,354.36
01609,269.82
01610,425.63
01631,378.65
01632,236.07
01633,146.98
01634,171.02
01635,182.83
01636,242
01637,343.78
01638,101.36
01639,160.06
01641,297.46
01642,159.05
01643,401.87
01644,356.3
01645,266.27
01646,260.39
01647,364.23
01648,189.33
01649,452.58
01661,158.8
01662,298.24
01663,326.9
01664,603.47
01665,204.39
01667,335.69
01668,173.93
01691,1068.45
01692,397.9
01693,175.08
01694,24.39
02201,267.38
02202,310.65
02203,230.58
02204,118.13
02205,195.39
02206,372.55
02207,85.4
02208,216.26
02209,229.36
02210,130.3
02301,145.55
02303,29.03
02304,25.15
02307,40.84
02321,136.68
02323,107.16
02343,32.34
02361,33.56
02362,82.35
02367,18.79
02381,35.58
02384,38.4
02387,65.58
02401,57.72
02402,165.07
02405,78.23
02406,71.96
02408,186.73
02411,133.73
02412,59.65
02423,16.96
02424,190.65
02425,15.74
02426,16.07
02441,129.89
02442,168.69
02443,139.39
02445,142.59
02446,89.65
02450,115.86
03201,418.25
03202,371.08
03203,283.66
03205,560.72
03206,122.39
03207,449.09
03208,454.45
03209,1080.7
03210,206.1
03211,210.01
03213,346.31
03214,354.16
03215,426.93
03216,116.17
03301,224.68
03302,412.16
03303,297.06
03321,171.29
03322,45.4
03366,175.76
03381,93.35
03402,52.35
03441,259.81
03461,47.36
03482,56.94
03483,602.04
03484,131.97
03485,48.01
03501,231.9
03503,57.8
03506,129.6
03507,283.43
03524,255.35
04101,74.55
04102,12.88
04103,26.41
04104,37.69
04105,45.87
04202,391.94
04203,16.16
04205,254.49
04206,211.61
04207,83.47
04208,119.09
04209,14.08
04211,48.2
04212,455.52
04213,570.47
04214,80.72
04215,520.07
04216,42.61
04301,91.52
