code,kokyozahyo_area
01,33613.38
02,4725.56
03,8976.24
04,4845.12
05,4071.94
06,2501.31
07,5287.14
08,3328.82
09,822.42
10,1356.22
11,921.04
12,727.19
13,436.88
14,250.46
15,2857.72
16,593.03
17,520.93
18,323.99
19,1060
20,3553.08
21,1383.5
22,1472.61
23,332.95
24,409.36
25,457.61
26,316.67
27,154.75
28,2034.57
29,397.03
30,1997.76
31,918.36
32,2740.82
33,5306.93
34,3763.13
35,3460.38
36,1294.45
37,1133.23
38,2574.09
39,2588.24
40,3193.98
41,1703.02
42,2432.31
43,4957.84
44,3349.1
45,3350.64
46,5614.22
47,1760.15
