code,area
10,1356219555.616726
11,921037743.8467404
12,727187137.3941177
13,436884016.9597004
14,250458432.492783
15,2857719882.8728285
16,593031150.5532097
17,520932537.79753953
18,323986629.9826827
19,1060001052.9135338
20,3553078575.3593707
21,1383496878.2369528
22,1472614444.443045
23,332945544.52100855
24,409359970.79107857
25,457605757.47616625
26,316667431.72328675
27,154750277.75840962
28,2034570734.2297814
29,397031947.469746
30,1997761867.9642332
31,918359144.3126457
32,2740816586.6751285
33,5306934850.076068
34,3763130069.4940495
35,3460378894.771814
36,1294450379.5936136
37,1133231717.784184
38,2574091914.9591384
39,2588239621.867814
40,3193976475.388751
41,1703024546.9814622
42,2432305922.4180493
43,4957843075.244467
44,3349097808.320384
45,3350637731.115416
46,5614219254.333828
47,1760150621.7582219
01,33613382979.442833
02,4725559495.234273
03,8976238702.059526
04,4845124805.90103
05,4071936395.551815
06,2501306100.1848807
07,5287141262.94679
08,3328824364.725629
09,822419908.1988109
