code,kokyozahyo_total,kokyozahyo_outside
02201,153493,532
02202,201057,1058
02203,191152,1552
02204,76307,600
02205,124883,1034
02206,184117,697
02207,59032,383
02208,92794,470
02209,129485,717
02210,93751,855
02301,41195,239
02303,16972,99
02304,14987,160
02307,33460,177
02321,49648,235
02323,48035,151
02343,12645,136
02361,34884,635
02362,37340,344
02367,24756,310
02381,36921,709
02384,37216,676
02387,46129,537
02401,30971,189
02402,70312,497
02405,50879,890
02406,27744,96
02408,90686,1005
02411,36335,313
02412,51713,556
02423,12998,68
02424,32882,137
02425,9079,28
02426,10428,103
02441,48493,432
02442,80211,1116
02443,37278,322
02445,65103,812
02446,39739,291
02450,30292,290
